,,,,,,,,,,art,art,art,art,bus,bus,bus,bus,cs,cs,cs,cs,econ,econ,econ,econ,edu,edu,edu,edu,eng,eng,eng,eng,humanities,humanities,humanities,humanities,lifesci,lifesci,lifesci,lifesci,math,math,math,math,nurse,nurse,nurse,nurse,polisci,polisci,polisci,polisci,social,social,social,social
18,178,University of Oklahoma (In-State),66%,"$96,990 ","$398,000 ",8.70%,"$65,740 ","$429,300 ",10.80%,,,,,"$413,100 ",8.80%,"$444,400 ",11.00%,"$677,700 ",11.10%,"$709,000 ",13.30%,,,,,,,,,"$698,600 ",11.30%,"$729,800 ",13.50%,,,,,,,,,,,,,,,,,,,,,,,,
36,179 (tie),University of Southern California (USC) ,90%,"$237,300 ","$397,600 ",5.20%,"$110,200 ","$524,700 ",9.30%,"$131,300 ",2.40%,"$258,300 ",6.40%,"$562,700 ",6.40%,"$689,800 ",10.60%,"$833,300 ",8.00%,"$960,300 ",12.20%,"$398,400 ",5.20%,"$525,500 ",9.30%,,,,,,,,,"($16,000)",-0.20%,"$111,000 ",3.70%,,,,,,,,,,,,,"$61,970 ",1.30%,"$189,000 ",5.30%,,,,
12,179 (tie),"University of Maryland, Baltimore County (UMBC) (Out-Of-State)",61%,"$147,500 ","$397,600 ",6.90%,"$112,100 ","$433,100 ",8.40%,,,,,"$162,500 ",4.00%,"$197,900 ",5.40%,"$685,200 ",9.20%,"$720,700 ",10.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,181,University of Massachusetts (UMass) - Amherst Campus (In-State),70%,"$101,500 ","$397,400 ",8.50%,"$71,490 ","$427,400 ",10.40%,"$155,400 ",4.90%,"$185,400 ",6.80%,"$397,300 ",8.50%,"$427,300 ",10.40%,"$846,200 ",12.00%,"$876,200 ",14.00%,"$391,300 ",8.40%,"$421,300 ",10.30%,,,,,,,,,,,,,"$556,500 ",10.00%,"$586,500 ",11.90%,,,,,"$517,500 ",9.60%,"$547,500 ",11.60%,,,,,,,,
42,182,University of Colorado - Boulder (UCB) (In-State),68%,"$116,100 ","$395,800 ",7.90%,"$78,460 ","$433,400 ",10.00%,,,,,"$412,900 ",8.10%,"$450,500 ",10.20%,"$914,800 ",11.70%,"$952,400 ",13.90%,"$340,900 ",7.30%,"$378,500 ",9.40%,,,,,"$633,500 ",10.00%,"$671,100 ",12.10%,"$84,940 ",3.00%,"$122,600 ",5.00%,"$228,700 ",5.80%,"$266,300 ",7.90%,,,,,,,,,"$208,000 ",5.40%,"$245,600 ",7.50%,,,,
48,183,Rutgers University - New Brunswick Campus (Out-Of-State),79%,"$171,100 ","$394,700 ",6.30%,"$121,900 ","$443,800 ",8.20%,"$136,000 ",3.10%,"$185,100 ",4.90%,"$720,100 ",8.80%,"$769,200 ",10.60%,"$619,800 ",8.10%,"$669,000 ",10.00%,"$672,500 ",8.50%,"$721,700 ",10.30%,,,,,"$707,300 ",8.70%,"$756,500 ",10.60%,"$28,710 ",0.90%,"$77,880 ",2.70%,"$295,500 ",5.30%,"$344,700 ",7.10%,,,,,,,,,"$217,700 ",4.40%,"$266,800 ",6.10%,,,,
30,184,Michigan State University (MSU) (In-State),79%,"$97,420 ","$392,900 ",8.60%,"$56,140 ","$434,200 ",11.60%,,,,,"$494,600 ",9.60%,"$535,900 ",12.70%,"$762,900 ",11.70%,"$804,200 ",14.80%,,,,,,,,,"$651,400 ",10.90%,"$692,700 ",14.00%,"$124,800 ",4.40%,"$166,100 ",7.30%,,,,,,,,,"$358,200 ",8.20%,"$399,500 ",11.20%,,,,,,,,
42,185,University of California - Irvine (UCI) (Out-Of-State),86%,"$216,200 ","$392,000 ",5.50%,"$147,700 ","$460,500 ",7.50%,"($53,900)",-1.30%,"$14,550 ",0.60%,"$539,300 ",6.60%,"$607,800 ",8.70%,"$832,300 ",8.40%,"$900,800 ",10.50%,,,,,,,,,"$643,600 ",7.30%,"$712,100 ",9.40%,"$263,800 ",4.20%,"$332,300 ",6.20%,"$216,900 ",3.70%,"$285,400 ",5.70%,,,,,,,,,"$129,500 ",2.50%,"$198,000 ",4.50%,,,,
6,186,Fairfield University ,81%,"$220,400 ","$390,400 ",5.40%,"$132,800 ","$478,000 ",8.10%,,,,,"$455,500 ",5.90%,"$543,100 ",8.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,187,Western New England College ,62%,"$188,200 ","$389,800 ",5.90%,"$119,200 ","$458,700 ",8.40%,,,,,"$401,800 ",6.10%,"$470,700 ",8.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,188,University of New England (UNE) ,58%,"$187,800 ","$386,100 ",5.90%,"$122,000 ","$451,900 ",8.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,189,Fordham University ,81%,"$233,300 ","$385,500 ",5.20%,"$149,800 ","$469,000 ",7.50%,,,,,"$574,700 ",6.60%,"$658,300 ",9.00%,,,,,"$540,200 ",6.30%,"$623,700 ",8.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,190,Oregon Institute of Technology (OIT) (Out-Of-State),49%,"$148,900 ","$384,100 ",6.80%,"$123,900 ","$409,000 ",7.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,191,"Seton Hall University - South Orange, NJ ",67%,"$201,800 ","$384,000 ",5.60%,"$111,200 ","$474,700 ",8.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,192,Bradley University ,78%,"$161,500 ","$382,800 ",6.40%,"$100,500 ","$443,800 ",9.00%,,,,,"$322,700 ",5.80%,"$383,700 ",8.40%,,,,,,,,,,,,,"$638,900 ",8.50%,"$699,800 ",11.10%,,,,,,,,,,,,,,,,,,,,,,,,
30,193,Iowa State University (In-State),71%,"$83,910 ","$382,500 ",9.10%,"$52,850 ","$413,600 ",11.70%,"$107,800 ",4.40%,"$138,900 ",6.80%,"$336,300 ",8.60%,"$367,400 ",11.10%,"$849,200 ",13.00%,"$880,200 ",15.60%,,,,,,,,,"$643,700 ",11.60%,"$674,800 ",14.20%,,,,,"$153,700 ",5.50%,"$184,700 ",8.00%,,,,,,,,,,,,,,,,
12,194,"Pace University - New York, NY ",56%,"$215,400 ","$381,400 ",5.40%,"$110,100 ","$486,800 ",9.00%,,,,,"$459,300 ",6.00%,"$564,600 ",9.70%,"$409,200 ",5.60%,"$514,500 ",9.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,195,Weber State University (In-State),37%,"$85,810 ","$381,300 ",9.00%,"$65,400 ","$401,800 ",10.50%,"($51,600)",-4.30%,"($31,200)",-3.00%,"$325,700 ",8.30%,"$346,100 ",9.80%,"$594,800 ",11.10%,"$615,200 ",12.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,196,Arizona State University (ASU) (In-State),57%,"$97,530 ","$381,000 ",8.50%,"$57,440 ","$421,100 ",11.40%,"$163,200 ",5.20%,"$203,300 ",8.00%,"$460,500 ",9.30%,"$500,600 ",12.20%,"$686,300 ",11.20%,"$726,400 ",14.10%,,,,,"($9,540)",-0.40%,"$30,550 ",2.30%,"$745,800 ",11.60%,"$785,900 ",14.60%,"$168,900 ",5.30%,"$209,000 ",8.10%,,,,,,,,,"$404,200 ",8.70%,"$444,300 ",11.60%,,,,,"$340,100 ",8.00%,"$380,200 ",10.90%
12,197,University of Texas at Dallas (Out-Of-State),64%,"$154,100 ","$380,900 ",6.60%,"$90,260 ","$444,700 ",9.50%,,,,,"$190,900 ",4.30%,"$254,800 ",7.10%,"$693,800 ",9.10%,"$757,600 ",12.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,198,New York University (NYU) ,85%,"$235,200 ","$379,000 ",5.10%,"$153,200 ","$461,000 ",7.40%,"$170,300 ",2.90%,"$252,300 ",5.20%,"$661,000 ",7.10%,"$742,900 ",9.40%,,,,,"$596,100 ",6.70%,"$678,100 ",9.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,199,Providence College ,87%,"$212,400 ","$377,200 ",5.40%,"$124,100 ","$465,400 ",8.30%,,,,,"$308,400 ",4.80%,"$396,600 ",7.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,200,Ramapo College of New Jersey (In-State),73%,"$116,100 ","$375,500 ",7.70%,"$62,070 ","$429,500 ",11.10%,,,,,"$460,600 ",8.50%,"$514,600 ",12.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201,"Regis University - Denver, CO",59%,"$189,500 ","$373,800 ",5.80%,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,202,University of Houston (UH) (Out-Of-State),46%,"$134,200 ","$373,400 ",7.10%,"$91,180 ","$416,500 ",9.10%,"($44,800)",-1.90%,"($1,760)",0.10%,"$377,800 ",7.10%,"$420,900 ",9.20%,"$852,900 ",10.70%,"$895,900 ",12.80%,,,,,,,,,"$715,300 ",9.80%,"$758,400 ",12.00%,"$211,900 ",5.00%,"$255,000 ",7.10%,"$6,075 ",0.40%,"$49,090 ",2.30%,,,,,,,,,,,,,,,,
6,203,The College of New Jersey (TCNJ) (Out-Of-State),87%,"$155,300 ","$373,100 ",6.50%,"$116,400 ","$412,000 ",8.00%,,,,,"$469,200 ",7.40%,"$508,000 ",8.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,204 (tie),University of California - Los Angeles (UCLA) (Out-Of-State),92%,"$223,500 ","$372,500 ",5.20%,"$152,000 ","$443,900 ",7.20%,"$130,800 ",2.50%,"$202,200 ",4.50%,"$493,400 ",6.20%,"$564,800 ",8.20%,"$1,009,000 ",9.10%,"$1,080,000 ",11.20%,"$606,100 ",7.00%,"$677,500 ",9.00%,,,,,"$779,600 ",8.00%,"$851,000 ",10.10%,"$207,200 ",3.50%,"$278,600 ",5.50%,"$311,400 ",4.60%,"$382,800 ",6.70%,,,,,,,,,"$115,800 ",2.30%,"$187,200 ",4.30%,,,,
30,204 (tie),University of Utah (In-State),59%,"$99,150 ","$372,500 ",8.30%,"$63,930 ","$407,700 ",10.70%,"$72,600 ",3.00%,"$107,800 ",5.20%,"$407,400 ",8.70%,"$442,600 ",11.10%,"$759,100 ",11.60%,"$794,300 ",14.10%,"$557,300 ",10.10%,"$592,600 ",12.50%,,,,,"$721,000 ",11.30%,"$756,200 ",13.80%,,,,,,,,,,,,,,,,,,,,,,,,
12,206,University of Wisconsin (UW) - Platteville Campus (Out-Of-State),52%,"$109,900 ","$371,000 ",7.80%,"$93,720 ","$387,100 ",8.70%,,,,,"$302,000 ",7.00%,"$318,200 ",7.90%,,,,,,,,,,,,,"$503,000 ",9.10%,"$519,200 ",10.00%,,,,,,,,,,,,,,,,,,,,,,,,
18,207 (tie),George Washington University (GWU) ,80%,"$230,500 ","$370,000 ",5.10%,"$125,400 ","$475,100 ",8.30%,"$156,100 ",2.80%,"$261,100 ",6.00%,"$494,000 ",6.10%,"$599,100 ",9.30%,"$820,700 ",8.10%,"$925,700 ",11.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,207 (tie),University of New Haven ,56%,"$193,700 ","$370,000 ",5.70%,"$121,500 ","$442,300 ",8.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,209,Pennsylvania State University (Penn State) - Main Campus (Out-Of-State),86%,"$179,000 ","$369,400 ",5.90%,"$144,100 ","$404,200 ",7.10%,"$159,800 ",3.40%,"$194,600 ",4.50%,"$364,100 ",5.90%,"$399,000 ",7.00%,"$724,400 ",8.60%,"$759,300 ",9.80%,,,,,"($89,800)",-3.30%,"($54,900)",-2.20%,"$591,600 ",7.70%,"$626,500 ",8.90%,,,,,,,,,,,,,"$408,700 ",6.30%,"$443,600 ",7.50%,"$250,800 ",4.60%,"$285,700 ",5.80%,"$238,200 ",4.50%,"$273,100 ",5.60%
0,210,Long Island University - Brooklyn ,35%,"$216,300 ","$369,000 ",5.30%,"$131,900 ","$453,400 ",7.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,211,SUNY - Albany (In-State),64%,"$85,560 ","$368,600 ",8.90%,"$55,950 ","$398,200 ",11.20%,,,,,,,,,,,,,,,,,,,,,,,,,"$77,860 ",3.50%,"$107,500 ",5.70%,,,,,,,,,,,,,,,,,,,,
6,212,Gannon University ,66%,"$164,200 ","$368,300 ",6.20%,"$92,770 ","$439,800 ",9.30%,,,,,"$275,600 ",5.20%,"$347,000 ",8.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,213,University of Colorado - Denver Campus (In-State),45%,"$101,500 ","$368,000 ",8.10%,"$70,740 ","$398,700 ",10.10%,,,,,"$220,000 ",6.10%,"$250,800 ",8.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,214,University of Texas at Arlington (UTA) (Out-Of-State),40%,"$132,500 ","$367,400 ",7.00%,"$87,640 ","$412,200 ",9.30%,"($67,700)",-3.40%,"($22,800)",-1.30%,"$260,100 ",5.80%,"$305,000 ",8.00%,,,,,,,,,,,,,"$603,600 ",9.10%,"$648,400 ",11.40%,,,,,,,,,,,,,"$605,600 ",9.10%,"$650,500 ",11.40%,,,,,,,,
0,215 (tie),Bloomfield College ,37%,"$172,900 ","$366,800 ",6.00%,"$92,290 ","$447,400 ",9.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,215 (tie),Utah State University - Main Campus (In-State),48%,"$74,390 ","$366,800 ",9.50%,"$44,360 ","$396,800 ",12.40%,,,,,"$270,900 ",8.20%,"$301,000 ",11.00%,,,,,,,,,,,,,"$632,400 ",12.10%,"$662,400 ",15.00%,,,,,,,,,,,,,,,,,,,,,,,,
6,217,University of Massachusetts (UMass) - Dartmouth Campus (In-State),50%,"$104,600 ","$366,200 ",8.00%,"$69,730 ","$401,100 ",10.20%,,,,,"$335,200 ",7.60%,"$370,000 ",9.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,218,Northeastern University ,79%,"$263,600 ","$365,600 ",5.30%,"$151,500 ","$477,800 ",9.20%,"$60,730 ",1.40%,"$172,900 ",5.20%,"$397,600 ",5.50%,"$509,800 ",9.50%,,,,,,,,,,,,,"$604,300 ",7.10%,"$716,400 ",11.10%,,,,,,,,,,,,,,,,,"$204,400 ",3.60%,"$316,600 ",7.40%,,,,
24,219,Texas Tech University (Out-Of-State),62%,"$121,700 ","$365,500 ",7.40%,"$91,310 ","$395,800 ",8.90%,,,,,"$300,700 ",6.60%,"$331,100 ",8.10%,"$673,300 ",10.00%,"$703,600 ",11.60%,,,,,,,,,"$699,500 ",10.20%,"$729,900 ",11.80%,,,,,"$358,200 ",7.30%,"$388,600 ",8.80%,,,,,,,,,,,,,,,,
0,220,Franklin and Marshall College ,83%,"$223,900 ","$365,400 ",5.10%,"$81,510 ","$507,800 ",10.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,221,University of California - Santa Barbara (UCSB) (Out-Of-State),80%,"$222,100 ","$364,500 ",5.10%,"$145,100 ","$441,500 ",7.40%,"$14,220 ",0.50%,"$91,190 ",2.60%,"$477,200 ",6.10%,"$554,200 ",8.40%,"$859,000 ",8.40%,"$936,000 ",10.70%,"$586,400 ",6.80%,"$663,400 ",9.10%,,,,,"$703,400 ",7.60%,"$780,400 ",9.90%,"$308,400 ",4.60%,"$385,400 ",6.90%,"$254,100 ",4.10%,"$331,000 ",6.30%,,,,,,,,,,,,,,,,
12,222,University of San Francisco (USF) ,67%,"$225,800 ","$363,800 ",5.10%,"$129,800 ","$459,800 ",8.00%,,,,,"$479,500 ",6.00%,"$575,500 ",9.00%,,,,,"$1,043,000 ",9.20%,"$1,139,000 ",12.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,223,University of Delaware (Out-Of-State),82%,"$160,100 ","$363,500 ",6.30%,"$128,000 ","$395,600 ",7.50%,,,,,"$409,400 ",6.70%,"$441,500 ",7.90%,"$714,200 ",9.00%,"$746,400 ",10.30%,,,,,,,,,,,,,"$250,500 ",5.00%,"$282,600 ",6.20%,,,,,,,,,,,,,"$258,200 ",5.10%,"$290,400 ",6.30%,,,,
18,224,Clemson University (Out-Of-State),82%,"$178,600 ","$363,000 ",5.90%,"$138,200 ","$403,400 ",7.20%,,,,,"$243,000 ",4.60%,"$283,400 ",5.90%,"$607,000 ",7.90%,"$647,500 ",9.30%,,,,,,,,,"$587,700 ",7.70%,"$628,100 ",9.10%,,,,,,,,,,,,,,,,,,,,,,,,
24,225,Rutgers University - Main Campus (Out-Of-State),61%,"$179,300 ","$361,300 ",5.80%,"$128,300 ","$412,300 ",7.60%,,,,,"$434,600 ",6.50%,"$485,500 ",8.30%,"$794,200 ",9.00%,"$845,200 ",10.80%,"$198,100 ",4.00%,"$249,100 ",5.70%,,,,,,,,,,,,,"$297,500 ",5.20%,"$348,500 ",7.00%,,,,,,,,,,,,,,,,
12,226,North Dakota State University (NDSU) (Out-Of-State),53%,"$127,200 ","$360,400 ",7.10%,"$106,800 ","$380,800 ",8.10%,,,,,,,,,"$428,700 ",7.80%,"$449,100 ",8.80%,,,,,,,,,"$594,800 ",9.20%,"$615,200 ",10.20%,,,,,,,,,,,,,,,,,,,,,,,,
30,227,University of Cincinnati (UC) (In-State),55%,"$125,200 ","$359,700 ",7.20%,"$91,660 ","$393,300 ",8.90%,"$104,000 ",3.20%,"$137,600 ",4.90%,"$279,800 ",6.20%,"$313,400 ",7.90%,"$839,400 ",10.90%,"$873,000 ",12.70%,,,,,,,,,"$625,000 ",9.50%,"$658,600 ",11.30%,,,,,,,,,,,,,"$295,700 ",6.40%,"$329,300 ",8.10%,,,,,,,,
18,228 (tie),Auburn University (In-State),68%,"$95,930 ","$358,700 ",8.30%,"$47,180 ","$407,400 ",12.20%,"$165,200 ",5.30%,"$214,000 ",9.10%,"$309,800 ",7.70%,"$358,600 ",11.50%,,,,,,,,,,,,,"$604,300 ",10.60%,"$653,000 ",14.60%,,,,,,,,,,,,,,,,,,,,,,,,
18,228 (tie),University of Connecticut (UConn) - Main Campus (Out-Of-State),82%,"$173,600 ","$358,700 ",5.90%,"$130,400 ","$401,900 ",7.50%,,,,,"$424,800 ",6.60%,"$468,000 ",8.10%,"$537,400 ",7.50%,"$580,600 ",9.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$181,300 ",3.80%,"$224,500 ",5.30%,,,,
6,230,University of Wyoming (UW) (In-State),54%,"$78,320 ","$358,100 ",9.10%,"$47,650 ","$388,800 ",11.90%,,,,,,,,,,,,,,,,,,,,,"$545,300 ",11.10%,"$576,000 ",13.90%,,,,,,,,,,,,,,,,,,,,,,,,
30,231,University of Florida (UF) (Out-Of-State),85%,"$168,500 ","$357,700 ",6.00%,"$142,400 ","$383,800 ",6.90%,"($2,020)",0.10%,"$24,100 ",0.90%,"$328,200 ",5.70%,"$354,300 ",6.60%,"$638,400 ",8.30%,"$664,500 ",9.20%,"$140,800 ",3.30%,"$167,000 ",4.10%,,,,,"$633,700 ",8.30%,"$659,800 ",9.20%,,,,,,,,,,,,,,,,,,,,,,,,
6,232,New Mexico State University - Main Campus (In-State),44%,"$88,880 ","$357,000 ",8.60%,"$50,810 ","$395,100 ",11.70%,,,,,"$187,000 ",6.00%,"$225,000 ",9.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,233,California State University - Chico (Out-Of-State),57%,"$157,500 ","$356,800 ",6.30%,"$109,900 ","$404,400 ",8.20%,,,,,"$489,600 ",7.50%,"$537,300 ",9.40%,,,,,,,,,,,,,"$642,500 ",8.60%,"$690,100 ",10.60%,,,,,,,,,,,,,,,,,,,,,,,,
12,234,Emory University ,89%,"$224,200 ","$356,600 ",5.00%,"$103,500 ","$477,300 ",9.20%,,,,,,,,,,,,,"$281,300 ",4.30%,"$402,100 ",8.40%,,,,,,,,,"($126,000)",-3.90%,"($5,060)",-0.10%,,,,,,,,,,,,,,,,,,,,
0,235,Rockhurst University ,69%,"$167,400 ","$355,300 ",6.00%,"$80,680 ","$442,000 ",10.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,236,Park University ,41%,"$94,990 ","$355,100 ",8.30%,"$48,240 ","$401,900 ",12.00%,,,,,"$348,100 ",8.20%,"$394,800 ",11.90%,"$803,400 ",12.10%,"$850,200 ",15.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,237,Southern Adventist University ,56%,"$138,500 ","$354,900 ",6.70%,"$97,590 ","$395,800 ",8.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,238,University at Buffalo (UB) (In-State),70%,"$90,900 ","$354,400 ",8.40%,"$58,840 ","$386,500 ",10.80%,"$111,100 ",4.20%,"$143,100 ",6.50%,"$251,100 ",7.00%,"$283,100 ",9.40%,"$634,900 ",11.10%,"$667,000 ",13.60%,,,,,,,,,"$620,200 ",11.00%,"$652,300 ",13.50%,,,,,,,,,,,,,,,,,,,,,,,,
6,239,Indiana Institute Of Technology ,30%,"$155,900 ","$354,300 ",6.30%,"$95,860 ","$414,400 ",8.90%,,,,,"$147,100 ",3.50%,"$207,200 ",6.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,240,University of Portland ,74%,"$198,400 ","$353,300 ",5.40%,"$128,600 ","$423,100 ",7.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,241,University of Wisconsin (UW) - Madison (In-State),82%,"$95,030 ","$352,200 ",8.20%,"$71,120 ","$376,100 ",9.80%,"$65,590 ",2.80%,"$89,490 ",4.30%,"$483,000 ",9.60%,"$506,900 ",11.20%,"$754,300 ",11.80%,"$778,200 ",13.40%,"$634,900 ",10.90%,"$658,800 ",12.50%,"$78,820 ",3.20%,"$102,700 ",4.70%,"$616,200 ",10.80%,"$640,100 ",12.40%,"$220,400 ",6.40%,"$244,300 ",7.90%,"$325,100 ",7.90%,"$349,000 ",9.50%,,,,,"$428,700 ",9.10%,"$452,600 ",10.70%,"$298,900 ",7.50%,"$322,800 ",9.10%,,,,
6,242,Lamar University (In-State),32%,"$97,520 ","$352,000 ",8.10%,"$70,490 ","$379,100 ",9.90%,,,,,"$369,000 ",8.30%,"$396,000 ",10.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,243,Tennessee Technological University (TTU) (In-State),52%,"$91,500 ","$351,700 ",8.40%,"$55,150 ","$388,000 ",11.20%,,,,,"$118,100 ",4.40%,"$154,400 ",7.10%,,,,,,,,,,,,,"$576,900 ",10.60%,"$613,200 ",13.50%,,,,,,,,,,,,,,,,,,,,,,,,
30,244 (tie),Washington State University (WSU) (In-State),67%,"$107,600 ","$350,700 ",7.70%,"$67,840 ","$390,500 ",10.20%,"$41,360 ",1.80%,"$81,100 ",4.20%,"$361,700 ",7.80%,"$401,400 ",10.30%,"$656,400 ",10.50%,"$696,100 ",13.10%,,,,,,,,,"$654,000 ",10.50%,"$693,800 ",13.00%,,,,,,,,,,,,,"$504,100 ",9.30%,"$543,900 ",11.80%,,,,,,,,
12,244 (tie),University of Wisconsin (UWEC) - Eau Claire (In-State),65%,"$77,590 ","$350,700 ",9.10%,"$61,440 ","$366,900 ",10.40%,,,,,"$384,100 ",9.50%,"$400,300 ",10.80%,,,,,,,,,,,,,,,,,,,,,"$254,400 ",7.70%,"$270,600 ",9.00%,,,,,,,,,,,,,,,,
0,246 (tie),Farmingdale State College (In-State),43%,"$94,670 ","$350,100 ",8.20%,"$66,680 ","$378,100 ",10.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,246 (tie),Oregon State University (OSU) - Main Campus (In-State),61%,"$95,470 ","$350,100 ",8.20%,"$68,840 ","$376,800 ",10.00%,"$68,580 ",2.90%,"$95,210 ",4.60%,"$238,500 ",6.60%,"$265,200 ",8.40%,"$666,200 ",11.10%,"$692,800 ",13.00%,,,,,,,,,"$681,700 ",11.20%,"$708,300 ",13.10%,,,,,,,,,,,,,,,,,,,,,,,,
24,248,University of Oklahoma (Out-Of-State),66%,"$145,200 ","$349,800 ",6.50%,"$114,000 ","$381,000 ",7.80%,,,,,"$364,900 ",6.70%,"$396,200 ",8.00%,"$629,500 ",8.90%,"$660,800 ",10.20%,,,,,,,,,"$650,300 ",9.10%,"$681,600 ",10.40%,,,,,,,,,,,,,"$274,100 ",5.60%,"$305,300 ",6.90%,,,,,,,,
6,249,University of Hartford ,51%,"$189,100 ","$349,000 ",5.50%,"$118,900 ","$419,300 ",8.00%,,,,,"$318,900 ",5.20%,"$389,200 ",7.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,250,University of Rhode Island (URI) (In-State),63%,"$107,400 ","$347,500 ",7.70%,"$64,920 ","$390,000 ",10.40%,,,,,"$309,400 ",7.20%,"$351,900 ",9.90%,"$860,800 ",11.80%,"$903,300 ",14.70%,,,,,,,,,"$587,800 ",10.00%,"$630,300 ",12.80%,,,,,,,,,,,,,,,,,,,,,,,,
6,251,University of Alaska - Anchorage Campus (Out-Of-State),26%,"$138,700 ","$347,100 ",6.60%,"$114,900 ","$370,900 ",7.60%,,,,,"$257,100 ",5.60%,"$280,900 ",6.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,252,"La Salle University - Philadelphia, PA ",66%,"$196,900 ","$346,700 ",5.40%,"$105,000 ","$438,500 ",8.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,253,University of Massachusetts (UMass) - Amherst Campus (Out-Of-State),70%,"$154,000 ","$344,800 ",6.20%,"$124,000 ","$374,800 ",7.40%,"$102,900 ",2.80%,"$132,900 ",3.90%,"$344,800 ",6.20%,"$374,800 ",7.40%,"$793,600 ",9.70%,"$823,600 ",10.90%,"$338,700 ",6.20%,"$368,700 ",7.30%,,,,,,,,,,,,,"$503,900 ",7.70%,"$533,900 ",8.90%,,,,,"$465,000 ",7.40%,"$495,000 ",8.50%,,,,,,,,
6,254,Wayland Baptist University ,36%,"$90,060 ","$344,300 ",8.40%,"$56,370 ","$378,000 ",10.90%,,,,,"$439,600 ",9.40%,"$473,300 ",12.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,255,Weber State University (Out-Of-State),37%,"$124,100 ","$343,000 ",7.00%,"$103,700 ","$363,400 ",8.00%,"($89,900)",-6.10%,"($69,500)",-5.20%,"$287,400 ",6.30%,"$307,800 ",7.30%,"$556,500 ",9.10%,"$576,900 ",10.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,256,Academy of Art University ,32%,"$186,500 ","$342,800 ",5.50%,"$152,500 ","$376,800 ",6.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,257,Ramapo College of New Jersey (Out-Of-State),73%,"$149,600 ","$342,000 ",6.30%,"$95,570 ","$396,000 ",8.70%,,,,,"$427,100 ",7.20%,"$481,100 ",9.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
